iter	Passed	Remaining
0	1	197
1	3	195
2	5	188
3	7	176
4	9	179
5	11	182
6	14	192
7	16	188
8	18	186
9	20	184
10	22	179
11	24	178
12	26	178
13	28	174
14	30	171
15	32	168
16	33	164
17	35	161
18	36	156
19	38	154
20	40	152
21	42	149
22	44	147
23	45	145
24	47	143
25	49	140
26	50	136
27	52	134
28	53	130
29	54	127
30	56	125
31	57	121
32	58	118
33	59	116
34	61	114
35	63	113
36	65	111
37	67	109
38	69	108
39	70	106
40	72	103
41	72	100
42	73	97
43	75	95
44	76	93
45	78	92
46	79	89
47	80	86
48	81	84
49	82	82
50	83	80
51	84	78
52	85	76
53	87	74
54	88	72
55	89	70
56	90	68
57	91	66
58	92	64
59	94	62
60	95	61
61	96	59
62	97	57
63	98	55
64	99	53
65	100	51
66	101	49
67	101	47
68	102	46
69	103	44
70	104	42
71	105	40
72	105	39
73	106	37
74	107	35
75	107	34
76	108	32
77	109	30
78	109	29
79	110	27
80	111	26
81	111	24
82	112	23
83	113	21
84	113	20
85	114	18
86	115	17
87	116	15
88	116	14
89	117	13
90	118	11
91	118	10
92	119	9
93	120	7
94	121	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
